CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue
©yÄõ¿¤,1960,1,121.3,24.4,0.69588
©yÄõ¿¤,1960,2,121.3,24.4,0.363725
©yÄõ¿¤,1960,3,121.3,24.4,1.86361
©yÄõ¿¤,1960,4,121.3,24.4,3.67539
©yÄõ¿¤,1960,5,121.3,24.4,7.20999
©yÄõ¿¤,1960,6,121.3,24.4,9.39965
©yÄõ¿¤,1960,7,121.3,24.4,12.4155
©yÄõ¿¤,1960,8,121.3,24.4,16.2389
©yÄõ¿¤,1960,9,121.3,24.4,6.54308
©yÄõ¿¤,1960,10,121.3,24.4,0.522704
©yÄõ¿¤,1960,11,121.3,24.4,1.08066
©yÄõ¿¤,1960,12,121.3,24.4,0.876502
©yÄõ¿¤,1961,1,121.3,24.4,0.0957805
©yÄõ¿¤,1961,2,121.3,24.4,4.11927
©yÄõ¿¤,1961,3,121.3,24.4,4.62021
©yÄõ¿¤,1961,4,121.3,24.4,1.96888
©yÄõ¿¤,1961,5,121.3,24.4,7.68072
©yÄõ¿¤,1961,6,121.3,24.4,1.09195
©yÄõ¿¤,1961,7,121.3,24.4,2.50227
©yÄõ¿¤,1961,8,121.3,24.4,4.06718
©yÄõ¿¤,1961,9,121.3,24.4,13.8213
©yÄõ¿¤,1961,10,121.3,24.4,0.375173
©yÄõ¿¤,1961,11,121.3,24.4,0.855972
©yÄõ¿¤,1961,12,121.3,24.4,0.394107
©yÄõ¿¤,1962,1,121.3,24.4,1.42251
©yÄõ¿¤,1962,2,121.3,24.4,2.19219
©yÄõ¿¤,1962,3,121.3,24.4,9.14261
©yÄõ¿¤,1962,4,121.3,24.4,2.90631
©yÄõ¿¤,1962,5,121.3,24.4,1.1999
©yÄõ¿¤,1962,6,121.3,24.4,4.65406
©yÄõ¿¤,1962,7,121.3,24.4,6.239
©yÄõ¿¤,1962,8,121.3,24.4,19.7384
©yÄõ¿¤,1962,9,121.3,24.4,17.3307
©yÄõ¿¤,1962,10,121.3,24.4,13.4431
©yÄõ¿¤,1962,11,121.3,24.4,3.4317
©yÄõ¿¤,1962,12,121.3,24.4,0.0797788
©yÄõ¿¤,1963,1,121.3,24.4,0.207629
©yÄõ¿¤,1963,2,121.3,24.4,1.45196
©yÄõ¿¤,1963,3,121.3,24.4,1.80765
©yÄõ¿¤,1963,4,121.3,24.4,0.773098
©yÄõ¿¤,1963,5,121.3,24.4,0.32704
©yÄõ¿¤,1963,6,121.3,24.4,5.16936
©yÄõ¿¤,1963,7,121.3,24.4,12.3914
©yÄõ¿¤,1963,8,121.3,24.4,1.37833
©yÄõ¿¤,1963,9,121.3,24.4,19.1927
©yÄõ¿¤,1963,10,121.3,24.4,0.212762
©yÄõ¿¤,1963,11,121.3,24.4,2.23098
©yÄõ¿¤,1963,12,121.3,24.4,1.73535
©yÄõ¿¤,1964,1,121.3,24.4,5.83699
©yÄõ¿¤,1964,2,121.3,24.4,1.72123
©yÄõ¿¤,1964,3,121.3,24.4,0.529201
©yÄõ¿¤,1964,4,121.3,24.4,0.194639
©yÄõ¿¤,1964,5,121.3,24.4,2.94691
©yÄõ¿¤,1964,6,121.3,24.4,6.85578
©yÄõ¿¤,1964,7,121.3,24.4,2.19312
©yÄõ¿¤,1964,8,121.3,24.4,7.67725
©yÄõ¿¤,1964,9,121.3,24.4,2.96572
©yÄõ¿¤,1964,10,121.3,24.4,7.70963
©yÄõ¿¤,1964,11,121.3,24.4,1.1094
©yÄõ¿¤,1964,12,121.3,24.4,0.0944613
©yÄõ¿¤,1965,1,121.3,24.4,1.7612
©yÄõ¿¤,1965,2,121.3,24.4,1.61262
©yÄõ¿¤,1965,3,121.3,24.4,1.45501
©yÄõ¿¤,1965,4,121.3,24.4,3.19743
©yÄõ¿¤,1965,5,121.3,24.4,3.81705
©yÄõ¿¤,1965,6,121.3,24.4,6.76396
©yÄõ¿¤,1965,7,121.3,24.4,8.14126
©yÄõ¿¤,1965,8,121.3,24.4,7.95883
©yÄõ¿¤,1965,9,121.3,24.4,1.33544
©yÄõ¿¤,1965,10,121.3,24.4,0.824779
©yÄõ¿¤,1965,11,121.3,24.4,3.71783
©yÄõ¿¤,1965,12,121.3,24.4,1.31886
©yÄõ¿¤,1966,1,121.3,24.4,0.135137
©yÄõ¿¤,1966,2,121.3,24.4,1.44553
©yÄõ¿¤,1966,3,121.3,24.4,2.94692
©yÄõ¿¤,1966,4,121.3,24.4,1.28037
©yÄõ¿¤,1966,5,121.3,24.4,3.33525
©yÄõ¿¤,1966,6,121.3,24.4,16.8094
©yÄõ¿¤,1966,7,121.3,24.4,1.69579
©yÄõ¿¤,1966,8,121.3,24.4,2.91253
©yÄõ¿¤,1966,9,121.3,24.4,4.06081
©yÄõ¿¤,1966,10,121.3,24.4,0.0209019
©yÄõ¿¤,1966,11,121.3,24.4,0.148897
©yÄõ¿¤,1966,12,121.3,24.4,0.379648
©yÄõ¿¤,1967,1,121.3,24.4,2.32473
©yÄõ¿¤,1967,2,121.3,24.4,2.27811
©yÄõ¿¤,1967,3,121.3,24.4,1.69289
©yÄõ¿¤,1967,4,121.3,24.4,2.13571
©yÄõ¿¤,1967,5,121.3,24.4,7.42795
©yÄõ¿¤,1967,6,121.3,24.4,4.45715
©yÄõ¿¤,1967,7,121.3,24.4,3.14564
©yÄõ¿¤,1967,8,121.3,24.4,4.63953
©yÄõ¿¤,1967,9,121.3,24.4,3.09743
©yÄõ¿¤,1967,10,121.3,24.4,5.94487
©yÄõ¿¤,1967,11,121.3,24.4,7.08897
©yÄõ¿¤,1967,12,121.3,24.4,2.54217
©yÄõ¿¤,1968,1,121.3,24.4,0.915237
©yÄõ¿¤,1968,2,121.3,24.4,13.7745
©yÄõ¿¤,1968,3,121.3,24.4,9.50169
©yÄõ¿¤,1968,4,121.3,24.4,1.90502
©yÄõ¿¤,1968,5,121.3,24.4,8.26023
©yÄõ¿¤,1968,6,121.3,24.4,14.8473
©yÄõ¿¤,1968,7,121.3,24.4,7.86806
©yÄõ¿¤,1968,8,121.3,24.4,4.18809
©yÄõ¿¤,1968,9,121.3,24.4,9.2399
©yÄõ¿¤,1968,10,121.3,24.4,0.754296
©yÄõ¿¤,1968,11,121.3,24.4,0.0269924
©yÄõ¿¤,1968,12,121.3,24.4,0.375202
©yÄõ¿¤,1969,1,121.3,24.4,2.04341
©yÄõ¿¤,1969,2,121.3,24.4,5.04175
©yÄõ¿¤,1969,3,121.3,24.4,4.87529
©yÄõ¿¤,1969,4,121.3,24.4,1.53905
©yÄõ¿¤,1969,5,121.3,24.4,4.8805
©yÄõ¿¤,1969,6,121.3,24.4,15.1219
©yÄõ¿¤,1969,7,121.3,24.4,5.17501
©yÄõ¿¤,1969,8,121.3,24.4,3.85644
©yÄõ¿¤,1969,9,121.3,24.4,17.5783
©yÄõ¿¤,1969,10,121.3,24.4,7.69426
©yÄõ¿¤,1969,11,121.3,24.4,1.51473
©yÄõ¿¤,1969,12,121.3,24.4,0.269823
©yÄõ¿¤,1970,1,121.3,24.4,4.37164
©yÄõ¿¤,1970,2,121.3,24.4,1.03513
©yÄõ¿¤,1970,3,121.3,24.4,6.95446
©yÄõ¿¤,1970,4,121.3,24.4,1.20396
©yÄõ¿¤,1970,5,121.3,24.4,5.03616
©yÄõ¿¤,1970,6,121.3,24.4,3.86673
©yÄõ¿¤,1970,7,121.3,24.4,2.44955
©yÄõ¿¤,1970,8,121.3,24.4,2.77751
©yÄõ¿¤,1970,9,121.3,24.4,13.8872
©yÄõ¿¤,1970,10,121.3,24.4,5.48622
©yÄõ¿¤,1970,11,121.3,24.4,0.595252
©yÄõ¿¤,1970,12,121.3,24.4,3.34515
©yÄõ¿¤,1971,1,121.3,24.4,2.54597
©yÄõ¿¤,1971,2,121.3,24.4,2.28681
©yÄõ¿¤,1971,3,121.3,24.4,1.21511
©yÄõ¿¤,1971,4,121.3,24.4,1.12535
©yÄõ¿¤,1971,5,121.3,24.4,5.96137
©yÄõ¿¤,1971,6,121.3,24.4,4.16697
©yÄõ¿¤,1971,7,121.3,24.4,10.1486
©yÄõ¿¤,1971,8,121.3,24.4,1.02863
©yÄõ¿¤,1971,9,121.3,24.4,21.8322
©yÄõ¿¤,1971,10,121.3,24.4,3.09598
©yÄõ¿¤,1971,11,121.3,24.4,0.871552
©yÄõ¿¤,1971,12,121.3,24.4,2.53511
©yÄõ¿¤,1972,1,121.3,24.4,4.67773
©yÄõ¿¤,1972,2,121.3,24.4,3.61137
©yÄõ¿¤,1972,3,121.3,24.4,0.710348
©yÄõ¿¤,1972,4,121.3,24.4,2.87935
©yÄõ¿¤,1972,5,121.3,24.4,5.50571
©yÄõ¿¤,1972,6,121.3,24.4,8.72828
©yÄõ¿¤,1972,7,121.3,24.4,9.79546
©yÄõ¿¤,1972,8,121.3,24.4,12.7598
©yÄõ¿¤,1972,9,121.3,24.4,1.69883
©yÄõ¿¤,1972,10,121.3,24.4,1.04374
©yÄõ¿¤,1972,11,121.3,24.4,3.86416
©yÄõ¿¤,1972,12,121.3,24.4,3.09748
©yÄõ¿¤,1973,1,121.3,24.4,3.124
©yÄõ¿¤,1973,2,121.3,24.4,1.35892
©yÄõ¿¤,1973,3,121.3,24.4,1.15982
©yÄõ¿¤,1973,4,121.3,24.4,7.96273
©yÄõ¿¤,1973,5,121.3,24.4,2.90879
©yÄõ¿¤,1973,6,121.3,24.4,8.02479
©yÄõ¿¤,1973,7,121.3,24.4,3.79436
©yÄõ¿¤,1973,8,121.3,24.4,6.00466
©yÄõ¿¤,1973,9,121.3,24.4,4.20891
©yÄõ¿¤,1973,10,121.3,24.4,9.17794
©yÄõ¿¤,1973,11,121.3,24.4,2.34029
©yÄõ¿¤,1973,12,121.3,24.4,0.473091
©yÄõ¿¤,1974,1,121.3,24.4,0.795041
©yÄõ¿¤,1974,2,121.3,24.4,3.8275
©yÄõ¿¤,1974,3,121.3,24.4,2.91355
©yÄõ¿¤,1974,4,121.3,24.4,11.2738
©yÄõ¿¤,1974,5,121.3,24.4,13.3378
©yÄõ¿¤,1974,6,121.3,24.4,13.0968
©yÄõ¿¤,1974,7,121.3,24.4,3.4262
©yÄõ¿¤,1974,8,121.3,24.4,5.14034
©yÄõ¿¤,1974,9,121.3,24.4,6.55218
©yÄõ¿¤,1974,10,121.3,24.4,11.0294
©yÄõ¿¤,1974,11,121.3,24.4,1.09828
©yÄõ¿¤,1974,12,121.3,24.4,2.974
©yÄõ¿¤,1975,1,121.3,24.4,3.45925
©yÄõ¿¤,1975,2,121.3,24.4,2.78541
©yÄõ¿¤,1975,3,121.3,24.4,5.18167
©yÄõ¿¤,1975,4,121.3,24.4,2.99751
©yÄõ¿¤,1975,5,121.3,24.4,8.68776
©yÄõ¿¤,1975,6,121.3,24.4,8.32524
©yÄõ¿¤,1975,7,121.3,24.4,1.71948
©yÄõ¿¤,1975,8,121.3,24.4,10.3225
©yÄõ¿¤,1975,9,121.3,24.4,13.8521
©yÄõ¿¤,1975,10,121.3,24.4,3.05687
©yÄõ¿¤,1975,11,121.3,24.4,1.18403
©yÄõ¿¤,1975,12,121.3,24.4,5.5907
©yÄõ¿¤,1976,1,121.3,24.4,1.99075
©yÄõ¿¤,1976,2,121.3,24.4,1.53888
©yÄõ¿¤,1976,3,121.3,24.4,2.29007
©yÄõ¿¤,1976,4,121.3,24.4,1.45604
©yÄõ¿¤,1976,5,121.3,24.4,9.90484
©yÄõ¿¤,1976,6,121.3,24.4,3.25004
©yÄõ¿¤,1976,7,121.3,24.4,7.4885
©yÄõ¿¤,1976,8,121.3,24.4,9.93307
©yÄõ¿¤,1976,9,121.3,24.4,5.09729
©yÄõ¿¤,1976,10,121.3,24.4,1.37228
©yÄõ¿¤,1976,11,121.3,24.4,0.667795
©yÄõ¿¤,1976,12,121.3,24.4,0.241856
©yÄõ¿¤,1977,1,121.3,24.4,3.05714
©yÄõ¿¤,1977,2,121.3,24.4,1.25336
©yÄõ¿¤,1977,3,121.3,24.4,0.992227
©yÄõ¿¤,1977,4,121.3,24.4,0.754849
©yÄõ¿¤,1977,5,121.3,24.4,7.87807
©yÄõ¿¤,1977,6,121.3,24.4,11.3485
©yÄõ¿¤,1977,7,121.3,24.4,10.9598
©yÄõ¿¤,1977,8,121.3,24.4,7.43385
©yÄõ¿¤,1977,9,121.3,24.4,8.56923
©yÄõ¿¤,1977,10,121.3,24.4,1.04402
©yÄõ¿¤,1977,11,121.3,24.4,2.52861
©yÄõ¿¤,1977,12,121.3,24.4,1.99752
©yÄõ¿¤,1978,1,121.3,24.4,3.14005
©yÄõ¿¤,1978,2,121.3,24.4,2.84755
©yÄõ¿¤,1978,3,121.3,24.4,9.15883
©yÄõ¿¤,1978,4,121.3,24.4,5.54335
©yÄõ¿¤,1978,5,121.3,24.4,8.21591
©yÄõ¿¤,1978,6,121.3,24.4,4.47849
©yÄõ¿¤,1978,7,121.3,24.4,1.3992
©yÄõ¿¤,1978,8,121.3,24.4,4.82428
©yÄõ¿¤,1978,9,121.3,24.4,2.14146
©yÄõ¿¤,1978,10,121.3,24.4,9.43879
©yÄõ¿¤,1978,11,121.3,24.4,0.359556
©yÄõ¿¤,1978,12,121.3,24.4,2.45917
©yÄõ¿¤,1979,1,121.3,24.4,1.9025
©yÄõ¿¤,1979,2,121.3,24.4,1.43974
©yÄõ¿¤,1979,3,121.3,24.4,5.27557
©yÄõ¿¤,1979,4,121.3,24.4,3.905
©yÄõ¿¤,1979,5,121.3,24.4,12.3664
©yÄõ¿¤,1979,6,121.3,24.4,8.34253
©yÄõ¿¤,1979,7,121.3,24.4,1.53074
©yÄõ¿¤,1979,8,121.3,24.4,19.1146
©yÄõ¿¤,1979,9,121.3,24.4,2.35733
©yÄõ¿¤,1979,10,121.3,24.4,2.21153
©yÄõ¿¤,1979,11,121.3,24.4,3.62243
©yÄõ¿¤,1979,12,121.3,24.4,0.385984
©yÄõ¿¤,1980,1,121.3,24.4,2.79619
©yÄõ¿¤,1980,2,121.3,24.4,4.50971
©yÄõ¿¤,1980,3,121.3,24.4,1.9651
©yÄõ¿¤,1980,4,121.3,24.4,6.09408
©yÄõ¿¤,1980,5,121.3,24.4,5.89619
©yÄõ¿¤,1980,6,121.3,24.4,0.813933
©yÄõ¿¤,1980,7,121.3,24.4,0.403904
©yÄõ¿¤,1980,8,121.3,24.4,13.0844
©yÄõ¿¤,1980,9,121.3,24.4,7.66176
©yÄõ¿¤,1980,10,121.3,24.4,1.33259
©yÄõ¿¤,1980,11,121.3,24.4,2.50422
©yÄõ¿¤,1980,12,121.3,24.4,0.578926
©yÄõ¿¤,1981,1,121.3,24.4,0.36372
©yÄõ¿¤,1981,2,121.3,24.4,3.21721
©yÄõ¿¤,1981,3,121.3,24.4,5.28947
©yÄõ¿¤,1981,4,121.3,24.4,1.8612
©yÄõ¿¤,1981,5,121.3,24.4,12.2231
©yÄõ¿¤,1981,6,121.3,24.4,18.0983
©yÄõ¿¤,1981,7,121.3,24.4,8.37259
©yÄõ¿¤,1981,8,121.3,24.4,3.5243
©yÄõ¿¤,1981,9,121.3,24.4,9.77539
©yÄõ¿¤,1981,10,121.3,24.4,1.11595
©yÄõ¿¤,1981,11,121.3,24.4,4.51997
©yÄõ¿¤,1981,12,121.3,24.4,1.47894
©yÄõ¿¤,1982,1,121.3,24.4,1.14124
©yÄõ¿¤,1982,2,121.3,24.4,4.43577
©yÄõ¿¤,1982,3,121.3,24.4,4.81014
©yÄõ¿¤,1982,4,121.3,24.4,4.67811
©yÄõ¿¤,1982,5,121.3,24.4,6.13777
©yÄõ¿¤,1982,6,121.3,24.4,7.15488
©yÄõ¿¤,1982,7,121.3,24.4,13.1403
©yÄõ¿¤,1982,8,121.3,24.4,5.70148
©yÄõ¿¤,1982,9,121.3,24.4,2.71447
©yÄõ¿¤,1982,10,121.3,24.4,0.211206
©yÄõ¿¤,1982,11,121.3,24.4,2.31292
©yÄõ¿¤,1982,12,121.3,24.4,1.63222
©yÄõ¿¤,1983,1,121.3,24.4,4.73779
©yÄõ¿¤,1983,2,121.3,24.4,19.0617
©yÄõ¿¤,1983,3,121.3,24.4,19.1527
©yÄõ¿¤,1983,4,121.3,24.4,3.68951
©yÄõ¿¤,1983,5,121.3,24.4,7.39969
©yÄõ¿¤,1983,6,121.3,24.4,5.19028
©yÄõ¿¤,1983,7,121.3,24.4,1.64039
©yÄõ¿¤,1983,8,121.3,24.4,3.56478
©yÄõ¿¤,1983,9,121.3,24.4,3.97719
©yÄõ¿¤,1983,10,121.3,24.4,2.2018
©yÄõ¿¤,1983,11,121.3,24.4,0.461691
©yÄõ¿¤,1983,12,121.3,24.4,1.85365
©yÄõ¿¤,1984,1,121.3,24.4,0.547681
©yÄõ¿¤,1984,2,121.3,24.4,1.06618
©yÄõ¿¤,1984,3,121.3,24.4,4.40476
©yÄõ¿¤,1984,4,121.3,24.4,9.54287
©yÄõ¿¤,1984,5,121.3,24.4,12.5763
©yÄõ¿¤,1984,6,121.3,24.4,4.7975
©yÄõ¿¤,1984,7,121.3,24.4,2.56998
©yÄõ¿¤,1984,8,121.3,24.4,15.9203
©yÄõ¿¤,1984,9,121.3,24.4,2.28309
©yÄõ¿¤,1984,10,121.3,24.4,2.28433
©yÄõ¿¤,1984,11,121.3,24.4,1.36347
©yÄõ¿¤,1984,12,121.3,24.4,0.383658
©yÄõ¿¤,1985,1,121.3,24.4,2.15582
©yÄõ¿¤,1985,2,121.3,24.4,18.8357
©yÄõ¿¤,1985,3,121.3,24.4,4.34005
©yÄõ¿¤,1985,4,121.3,24.4,6.41575
©yÄõ¿¤,1985,5,121.3,24.4,4.83772
©yÄõ¿¤,1985,6,121.3,24.4,9.09398
©yÄõ¿¤,1985,7,121.3,24.4,2.24851
©yÄõ¿¤,1985,8,121.3,24.4,11.8394
©yÄõ¿¤,1985,9,121.3,24.4,6.17955
©yÄõ¿¤,1985,10,121.3,24.4,4.0298
©yÄõ¿¤,1985,11,121.3,24.4,2.76953
